Continent,Species Distribution,Status,Order,FAMILY,Genus,Species,,LogMass,Combined Mass (g),Comments,Reference,IUCN status,comment,comment,Home Range Size,units for home range sizse,reference for home range
EA,,historical,Perissodactyla,Equidae,Equus,ferus,Tarpan or European Wild Horse,5.398,249999.995,changed name from caballos per wiki,148,,,,,,
EA,Thailand,historical,Artiodactyla,Cervidae,Cervus,schomburgki,Schomburgk's Deer,5.041,110000.000,hunting,http://www.ultimateungulate.com/Artiodactyla/Cervus_schomburgki.html,EX,only a few photographs exists. 136,,,,
EA,N Yemen,historical,Artiodactyla,Bovidae,Gazella,bilkis,Queen of Sheba's Gazelle or Yemen Gazelle ,4.686,48500.000,"REMOVE? Now considered a subsp? hunting, habitat loss;",56,EX,12-85kg,,,,
Insular,Madagascar,historical,Artiodactyla,Hippopotamidae,Hexaprotodon,madagascariensis,Malagasy pygmy hippopotamus,5.699,500034.535,smaller than H. Lemerlei,165,EX,,,,,
Insular,Madagascar,historical,Primates,Archaeolemuridae,Archaeolemur,edwardsi,,4.301,20000.000,,150,,,,,,
Insular,Madagascar,historical,Primates,Archaeolemuridae,Archaeolemur,majori,,4.301,20000.000,15-25kg,150,,,,,,
Insular,Madagascar,historical,Primates,Lemuridae,Pachylemur,insignis,,3.954,9000.000,8-10kg; survived until 1280-1420 ,150,,,,,,
Insular,Madagascar,historical,Primates,Lemuridae,Pachylemur,jullyi,,3.954,9000.000,survived until 1280-1420,150,,,,,,
Insular,Haiti and Gonave Isl.,historical,Insectivora,Nesophontidae,Nesophontes,hypomicrus,Atalaye Nesophontes,-999.000,-999.000,IUCN-extinction followed european contact,-999,EX,,,,,
Insular,Cuba,historical,Insectivora,Nesophontidae,Nesophontes,longirostris,Slender Cuban Nesophontes,-999.000,-999.000,IUCN-extinction followed european contact,-999,,,,,,
Insular,Cuba,historical,Insectivora,Nesophontidae,Nesophontes,major,greater Cuban nesophontes,-999.000,-999.000,IUCN-extinction followed european contact,-999,,,,,,
Insular,"Cuba, Haiti, Pinos Isl.",historical,Insectivora,Nesophontidae,Nesophontes,micrus,western Cuban nesophontes ,-999.000,-999.000,IUCN-extinction followed european contact,-999,,,,,,
Insular,Haiti,historical,Insectivora,Nesophontidae,Nesophontes,paramicrus,St. Michel nesophontes,-999.000,-999.000,IUCN-extinction followed european contact,-999,,,,,,
Insular,Cuba,historical,Insectivora,Nesophontidae,Nesophontes,submicrus,Lesser Cuban Nesophontes,-999.000,-999.000,IUCN-extinction followed european contact,-999,,,,,,
Insular,Haiti,historical,Insectivora,Nesophontidae,Nesophontes,zamicrus,Haitian nesophontes,-999.000,-999.000,IUCN-extinction followed european contact,-999,,,,,,
Insular,Puerto Rico,historical,Insectivora,Nesophontidae,Nesophontes,edithae,Puerto Rican Nesophontes ,2.279,190.000,IUCN-extinction followed european contact,209,,,,,,
Insular,Dominican Republic,historical,Insectivora,Solenodontidae,Solenodon,marcanoi,Marcano's Solenodon,-999.000,-999.000,IUCN-extinction followed european contact,-999,,,,,,
Insular,"Corsica, Sardinia",historical,Lagomorpha,Ochotonidae,Prolagus,sardus,Sardinian Pika ,-999.000,-999.000,,-999,EX,,,,,
Insular,palau Isls,historical,Chiroptera,Pteropodidae,Pteropus,pilosus,Large Palau Flying Fox,-999.000,-999.000,wingspan of 60 cm,-999,,,,,,
Insular,Falkland Islands,historical,Carnivora,Canidae,Dusicyon,australis,Falkland Islands Wolf ,4.699,50003.453,"hunting, fur trading, poisoning",165,EX,,,,,
Insular,"Philippines, Panay, Concepcion",historical,Chiroptera,Pteropodidae,Acerodon,lucifer,Panay Giant Fruit Bat,-999.000,-999.000,,-999,,,,,,
Insular,Reunion and Mauritus Isls,historical,Chiroptera,Pteropodidae,Pteropus,subniger,small Mauritian flying fox or dark flying fox ,-999.000,-999.000,vanished in 19th century,-999,,,,,,
Insular,Bonin isls (japan),historical,Chiroptera,Vespertilionidae,Pipistrellus,sturdeei,Bonin Pipistrelle or Sturdee's Bonin Pipistrelle,-999.000,-999.000,not sure of distribution; only 1 record,-999,,,,,,
Insular,Santa Cruz Isls,historical,Chiroptera,Pteropodidae,Nyctimene,sanctacrucis,Nendo or Santa Cruz Tube-nosed Fruit Bat,-999.000,-999.000,wingspan of 40cm,-999,,,,,,
Insular,Philippines,historical,Chiroptera,Pteropodidae,Dobsonia,chapmani,Chapman's Bare-backed Fruit Bat,-999.000,-999.000,,-999,,,,,,
Insular,"Barbados, Lesser Antilles",historical,Carnivora,Procyonidae,Procyon,gloveralleni,Barbados raccoon ,-999.000,-999.000,REMOVE? now considered a subspecies,-999,,,,,,
Insular,New Zealand,historical,Chiroptera,Mystacinidae,Mystacina,robusta,New Zealand Greater Short-tailed Bat ,1.435,27.250,,153,,,,,,
Insular,Guam,historical,Chiroptera,Pteropodidae,Pteropus,tokudae,Guam flying fox,2.182,152.000,,153,,,,,,
Insular,Madagascar,historical,Primates,Megaladapidae,Megaladapis,grandidieri,,4.720,52500.000,35-70kg; 14C 1000 to 3000 ybp,150,,,,,,
Insular,Madagascar,historical,Primates,Megaladapidae,Megaladapis,madagascariensis,,4.720,52500.000,14C 1000 to 3000 ybp,150,,,,,,
Insular,Madagascar,historical,Primates,Megaladapidae,Megaladapis,edwardsi,,4.875,75000.000,75+kg; 14C 1000 to 3000 ybp,150,,,,,,
