Continent,Species Distribution,Status,Order,FAMILY,Genus,Species,,LogMass,Combined Mass (g),Comments,Reference,IUCN status,comment,comment,Home Range Size,units for home range sizse,reference for home range
AF,South africa,extant,Chiroptera,Vespertilionidae,Kerivoula,aerosa,,-999.000,-999.000,,-999,,,,,,
AF,Tanzania,extant,Chiroptera,Vespertilionidae,Kerivoula,africana,,-999.000,-999.000,,-999,,,,,,
Af,"Kenya, N Zaire, S Cameroon",extant,Chiroptera,Vespertilionidae,Kerivoula,cuprosa,,-999.000,-999.000,,-999,,,,,,
AF,"Nigeria, Cameroon, N and E Zaire, Kenya, Ivory Coast, Liberia",extant,Chiroptera,Vespertilionidae,Kerivoula,smithi,,-999.000,-999.000,,-999,,,FA:33.75,,,
AF,"Liberia, Ghana, Cameroon, Congo Republic, Zaire",extant,Chiroptera,Vespertilionidae,Kerivoula,phalaena,,0.477,3.000,,153,,,,,,
AF,"Liberia to Ethiopia, south to South Africa",extant,Chiroptera,Vespertilionidae,Kerivoula,lanosa,,0.813,6.500,,153,,,,,,
AF,"Uganda and S kenya to Angola, namibia and Natal (south africa)",extant,Chiroptera,Vespertilionidae,Kerivoula,argentata,,1.000,10.000,,153,,,,,,
AF,"Angola, zaire",extant,Chiroptera,Vespertilionidae,Laephotis,angolensis,,-999.000,-999.000,,-999,,,,,,
AF,Namibia,extant,Chiroptera,Vespertilionidae,Laephotis,namibensis,,-999.000,-999.000,,-999,,,,,,
AF,"Ethiopia, Kenya, SW Cape Province (South Africa)",extant,Chiroptera,Vespertilionidae,Laephotis,wintoni,,0.778,6.000,,153,,,,,,
AF,"Zaire, Zambia, Malawi, Botswanna, zimbabawe, Transvaal (South Africa)",extant,Chiroptera,Vespertilionidae,Laephotis,botswanae,,0.857,7.200,,153,,,,,,
AF,"Sierra Leone to Ethiopia, south to Tanzania, Zambia and Angola; Bioko",extant,Chiroptera,Vespertilionidae,Mimetillus,moloneyi,,0.944,8.800,,153,,,FA:28,,,
AF,"kenya, tanzania, zaire, congo republic, madagascar, sao tome isls, comoro isls",extant,Chiroptera,Vespertilionidae,Miniopterus,minor,,0.846,7.008,,153,,,,,,
AF,"cape province, natal and transvaal (south africa), malawi, zambia",extant,Chiroptera,Vespertilionidae,Miniopterus,fraterculus,,0.863,7.300,,153,,,,,,
AF,"S Europe and Morocco through the Caucasus and Iran to most of china and japan, most of indo-malayan region, new guniea, solomon isls (including bougainville isl), australia, subsaharan africa, madagascar, bismarck arch",extant,Chiroptera,Vespertilionidae,Miniopterus,schreibersi,,1.059,11.467,,153,,,,,,
AF,"ethiopia, somalia, kenya, uganda, e and s Zaire, cameroon, gabon, mozambique, burundi, liberia perhaps nigeria",extant,Chiroptera,Vespertilionidae,Miniopterus,inflatus,,1.152,14.200,,153,,WT:12.5,FA:47.5,,,
AF,SW Cape Province (South Africa),extant,Chiroptera,Vespertilionidae,Myotis,lesueuri,,-999.000,-999.000,,-999,,,,,,
AF,"Ethiopia, Nigeria",extant,Chiroptera,Vespertilionidae,Myotis,morrisi,,-999.000,-999.000,,-999,,,,,,
AF,Ethiopia,extant,Chiroptera,Vespertilionidae,Myotis,scotti,,-999.000,-999.000,,-999,,,,,,
AF,"NW Cape Province (South Africa), Naminia, SW Angola",extant,Chiroptera,Vespertilionidae,Myotis,seabrai,,-999.000,-999.000,,-999,,,,,,
AF,"Europe (except Scandinavia), NW Africa, Turkey, Israel, Iraq, Crimea and Caucasus to Turkmenistan",extant,Chiroptera,Vespertilionidae,Myotis,nattereri,,0.854,7.138,,153,,,,,,
AF,"S Europe, north to Netherlands and S Poland, Crimea, Caucasus and Kopet Dag Mtns, east to Uzbekistan and E Iran, Israel, Morocco, Algeria, Tunisia, Lebanon, Afghanistan",extant,Chiroptera,Vespertilionidae,Myotis,emarginatus,,0.884,7.655,,153,,,,,,
AF,"Senegal to S Yemen, south to Angola, Zambia and Transvaal (South Africa)",extant,Chiroptera,Vespertilionidae,Myotis,bocagei,,0.891,7.786,,153,,WT:7.5,FA:37,,,
AF,"Ethiopia and Zaire, south to South Africa",extant,Chiroptera,Vespertilionidae,Myotis,tricolor,,1.144,13.943,,153,,,,,,
AF,South Africa to Ethiopia,extant,Chiroptera,Vespertilionidae,Myotis,welwitschii,,1.190,15.500,,153,,,,,,
AF,"Europe to Urals and Caucasus, Morocco, algeria, SE Asia Minor to Israel, Western Turkmenistan to SW Siberia, Himalayas and China, south to W Malaysia, Taiwan, Honshu (japan)",extant,Chiroptera,Vespertilionidae,Nyctalus,noctula,,1.447,28.000,,153,,,,,,
AF,"W europe to urals and caucasus, Asia minor, iran and Ust-Urt Plateau (Kazakhstan), Morocco, Libya",extant,Chiroptera,Vespertilionidae,Nyctalus,lasiopterus,,1.697,49.733,,153,,,,,,
AF,"SW arabia, egypt to somalia, mozambique, botswanna, south africa and Namibia, mauritania and ghana to sudan and tanzania",extant,Chiroptera,Vespertilionidae,Nycticeius,schlieffeni,,0.703,5.043,,153,,WT:5,FA:31.5,,,
AF,"the desert zone from morocco and niger through egypt and arabia to Tadzhikistan, afghanistan and kashmir",extant,Chiroptera,Vespertilionidae,Otonycteris,hemprichi,,1.376,23.780,,153,,,,,,
AF,"egypt, N sudan, lybia, algeria, Burkina Faso",extant,Chiroptera,Vespertilionidae,Pipistrellus,aegyptius,,-999.000,-999.000,,-999,,,,,,
AF,"NW Kenya, perhaps ethiopia",extant,Chiroptera,Vespertilionidae,Pipistrellus,aero,,-999.000,-999.000,,-999,,,,,,
AF,"egypt, N sudan",extant,Chiroptera,Vespertilionidae,Pipistrellus,ariel,,-999.000,-999.000,,-999,,,,,,
AF,"benin, cameroon, zaire, uganda, kenya, perhaps sudan",extant,Chiroptera,Vespertilionidae,Pipistrellus,inexspectatus,,-999.000,-999.000,,-999,,,,,,
AF,"cameroon, zaire, gabon",extant,Chiroptera,Vespertilionidae,Pipistrellus,musciculus,,-999.000,-999.000,,-999,,,,,,
AF,tanzania,extant,Chiroptera,Vespertilionidae,Pipistrellus,permixtus,,-999.000,-999.000,,-999,,,,,,
AF,"sierra leone to kenya, bioko",extant,Chiroptera,Vespertilionidae,Pipistrellus,nanulus,,0.398,2.500,,153,,,,,,
AF,"south africa to ethiopia, sudan, niger, mali and senegal, madagascar, pemba and zanzibar",extant,Chiroptera,Vespertilionidae,Pipistrellus,nanus,,0.590,3.886,,"153, 277",,WT:4.5,FA:28.5,,,
AF,"liberia and ethiopia, south to South africa",extant,Chiroptera,Vespertilionidae,Pipistrellus,rusticus,,0.658,4.550,,153,,,,,,
AF,"Angola, S  Zaire, Zambia",extant,Chiroptera,Vespertilionidae,Pipistrellus,anchietai,,0.663,4.600,,260,,,,,,
AF,"S Europe through the Caucasus to Kazakhstan and Pakistan, SW Asia, most of Africa, Canary Isls (Spain)",extant,Chiroptera,Vespertilionidae,Pipistrellus,kuhlii,,0.773,5.935,,153,,,,,,
AF,Liberia to Kenya and Somalia,extant,Chiroptera,Vespertilionidae,Pipistrellus,eisentrauti,,0.775,5.950,,153,,,,,,
AF,"cameroon, zaire, S sudan, N angola",extant,Chiroptera,Vespertilionidae,Pipistrellus,crassulus,,0.785,6.100,,153,,,,,,
AF,"Iberia, morocco and the canary (Spain) and Cape verde Isls through the Caucasus and Mongolia to korea, NE China and Japan, southeastward through iran and afghanistan to N india and burma",extant,Chiroptera,Vespertilionidae,Pipistrellus,savii,,0.803,6.360,,153,,,,,,
AF,"senegal, algeria, egypt and iraq south to botswanna and transvaal (south africa), zanzibar",extant,Chiroptera,Vespertilionidae,Pipistrellus,rueppelli,,0.840,6.920,,153,,,FA:33,,,
AF,gambia to kenya and mozambique,extant,Chiroptera,Vespertilionidae,Scotoecus,albofuscus,,0.653,4.500,,153,,,FA:30.5,,,
AF,"Senegal to ethiopia, south to angola, zambia and malawi",extant,Chiroptera,Vespertilionidae,Scotoecus,hirundo,,0.970,9.340,,153,,WT:12.5,FA:34.5,,,
AF,senegal to ethiopia aouth to namibia and south africa,extant,Chiroptera,Vespertilionidae,Scotophilus,viridis,,1.292,19.600,,153,,WT:16,,,,
AF,mauritania and senegal to n kenya and ethiopia,extant,Chiroptera,Vespertilionidae,Scotophilus,leucogaster,,1.306,20.233,,153,,WT:18,FA:51.5,,,
AF,senegal and sierra leone east to somalia and s yemen and south to south africa and namibia,extant,Chiroptera,Vespertilionidae,Scotophilus,dinganii,,1.400,25.129,,153,,WT:21.5,FA:53,,,
AF,sierra leone to kenya,extant,Chiroptera,Vespertilionidae,Scotophilus,nux,,1.477,30.000,,153,,WT:30,FA:55,,,
AF,senegal to sudan and kenya to mozambique,extant,Chiroptera,Vespertilionidae,Scotophilus,nigrita,,2.004,101.000,,153,,WT:83,FA:84,,,
AF,,extant,Hyracoidea,Procaviidae,Dendrohyrax,validus,,3.386,2430.000,Added in by KJ and ME,-999,VU,,,,,
AF,,extant,Hyracoidea,Procaviidae,Dendrohyrax,arboreus,,3.470,2949.986,,65,,,,,,
AF,,extant,Hyracoidea,Procaviidae,Dendrohyrax,dorsalis,,3.502,3175.000,Added in by KJ and ME,68,,,,,,
AF,S Algeria,extant,Hyracoidea,Procaviidae,Heterohyrax,antineae,,-999.000,-999.000,,-999,VU,,,,,
AF,,extant,Hyracoidea,Procaviidae,Heterohyrax,brucei,,3.419,2625.004,,65,VU,,,,,
AF,,extant,Hyracoidea,Procaviidae,Procavia,capensis,,3.481,3029.982,,60,,,,,,
AF,,extant,Insectivora,Chrysochloridae,Amblysomus,julianae,,1.342,22.000,"habitat loss, restricted range",60,CR,,,,,
AF,indeterminate status,extant,Insectivora,Chrysochloridae,Amblysomus,gunningi,,1.449,28.135,unknown,196,VU,,,,,
AF,,extant,Insectivora,Chrysochloridae,Amblysomus,iris,,1.643,44.000,,60,,,,,,
AF,,extant,Insectivora,Chrysochloridae,Amblysomus,hottentotus,,1.721,52.600,,260,,,,,,
AF,,extant,Insectivora,Chrysochloridae,Calcochloris,obtusirostris,,1.381,24.050,,"60, 129",,,,,,
AF,"S. Cape Prov., South Africa",extant,Insectivora,Chrysochloridae,Chlorotalpa,duthieae,,-999.000,-999.000,unknown,-999,VU,,,,,
AF,"N Angola, Zaire, Cameroon, Central African Repulic",extant,Insectivora,Chrysochloridae,Chlorotalpa,leucorhina,,-999.000,-999.000,,-999,,,,,,
AF,Somalia,extant,Insectivora,Chrysochloridae,Chlorotalpa,tytonis,,-999.000,-999.000,restricted range,-999,CR,,,,,
AF,"Cape Prov., E orange Free state, and S Transvaal (south Africa)",extant,Insectivora,Chrysochloridae,Chlorotalpa,sclateri,,1.613,41.000,unknown,"113, 260",VU,,,,,
AF,,extant,Insectivora,Chrysochloridae,Chlorotalpa,arendsi,,1.719,52.350,,"60, 129",,,,,,
AF,"Cape Prov., South Africa",extant,Insectivora,Chrysochloridae,Chrysochloris,visagiei,,1.477,30.00,unknown,230,CR,,,,,
AF,,extant,Insectivora,Chrysochloridae,Chrysochloris,stuhlmanni,,1.600,39.800,,60,,,,,,
AF,,extant,Insectivora,Chrysochloridae,Chrysochloris,asiatica,,1.690,49.000,,60,,,,,,
AF,,extant,Insectivora,Chrysochloridae,Chrysospalax,villosus,,2.079,119.875,habitat loss,"60, 129",VU,,,,,
AF,,extant,Insectivora,Chrysochloridae,Chrysospalax,trevelyani,,2.630,426.501,"habitat loss, changes in predators",60,EN,,,,,
AF,Cape Prob. South Africa,extant,Insectivora,Chrysochloridae,Cryptochloris,wintoni,,-999.000,-999.000,habitat loss,-999,VU,,,,,
AF,Cape Prob. South Africa,extant,Insectivora,Chrysochloridae,Cryptochloris,zyli,,1.398,25.00,habitat loss,229,CR,,,,,
AF,,extant,Insectivora,Chrysochloridae,Eremitalpa,granti,,1.417,26.100,"habitat loss, restricted range",60,VU,,,,,
AF,,extant,Insectivora,Erinaceidae,Atelerix,sclateri,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Erinaceidae,Atelerix,frontalis,,2.491,309.500,,60,,,,,,
AF,,extant,Insectivora,Erinaceidae,Atelerix,albiventris,,2.778,599.998,,65,,,,,,
AF,,extant,Insectivora,Erinaceidae,Atelerix,algirus,,3.097,1250.000,,65,,,,,,
AF,,extant,Insectivora,Erinaceidae,Hemiechinus,aethiopicus,,2.274,188.001,,60,,,,,,
AF,S. Zaire,extant,Insectivora,Soricidae,Congosorex,polli,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,aleksandrisi,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,allex,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,ansellorum,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,attila,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,baileyi,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,Ethopia,extant,Insectivora,Soricidae,Crocidura,bottegoides,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,buettikoferi,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,caliginea,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,cinderella,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,congobelgica,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,Tanzania,extant,Insectivora,Soricidae,Crocidura,desperata,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,eisentrauti,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,erica,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,fischeri,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,floweri,,-999.000,-999.000,"habitat loss, restricted range",-999,EN,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,glassi,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,greenwoodi,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,Ethopia,extant,Insectivora,Soricidae,Crocidura,harenna,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,kivuana,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,lanosa,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,latona,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,lucina,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,ludia,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,macarthuri,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,macmillani,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,macowi,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,manengubae,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,muricauda,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,mutesae,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,nana,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,nigrofusca,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,obscurior,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,parvipes,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,phaeura,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,picea,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,pitmani,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,Zaire,extant,Insectivora,Soricidae,Crocidura,polia,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,roosevelti,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,selina,,-999.000,-999.000,"habitat loss, restricted range",-999,EN,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,smithii,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,stenocephala,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,tansaniana,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,Uganda,extant,Insectivora,Soricidae,Crocidura,tarella,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,telfordi,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,thalia,,-999.000,-999.000,,-999,LR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,thomensis,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,voi,,-999.000,-999.000,,-999,,listed as bulteri,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,xantippe,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,zaphiri,,-999.000,-999.000,,-999,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,lusitania,,0.301,2.000,,"60, 163",,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,planiceps,,0.398,2.500,,"60, 163, 130",,WT:2.5,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,bottegi,,0.544,3.500,,"60, 163",,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,fuscomurina,,0.593,3.917,,"60, 163, 130",,WT:3,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,douceti,,0.633,4.300,,"60, 163, 130",,WT:4.3,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,suaveolens,,0.699,5.000,,Walkers online,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,yankariensis,,0.699,5.000,,"60, 163",,WT:5,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,whitakeri,,0.740,5.500,,60,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,dolichura,,0.756,5.700,,"60, 163, 226, 130",,WT:5.5,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,maquassiensis,,0.778,6.000,,"106, 260",,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,russula,,0.806,6.400,,60,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,tarfayensis,,0.813,6.500,,60,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,elgonius,,0.813,6.500,"habitat loss, restricted range",108,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,nanilla,,0.813,6.500,,108,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,pasha,,0.813,6.500,,108,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,crenata,,0.814,6.52,,226,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,gracilipes,,0.826,6.700,"habitat loss, restricted range","60, 130",CR,WT:6.7,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,crossei,,0.839,6.900,,"60, 163, 130",,WT:6.4,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,denti,,0.845,7.000,,108,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,jacksoni,,0.845,7.000,,108,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,religiosa,,0.845,7.000,,"63, 70",DD,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,silacea,,0.903,8.000,,"60, 260",,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,cyanea,,0.971,9.350,,260,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,hildegardeae,,0.978,9.500,,"63, 70",,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,usambarae,,0.987,9.700,"habitat loss, restricted range",124,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,mariquensis,,1.051,11.250,,260,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,somalica,,1.061,11.500,,60,,specimen from oman,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,fulvastra,,1.103,12.667,,"60, 130",,WT:14,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,nigripes,,1.121,13.200,,60,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,grassei,,1.130,13.500,,174,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,maurisca,,1.146,14.000,,"63, 70",,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,fumosa,,1.161,14.500,"habitat loss, restricted range","63, 70",VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,luna,,1.161,14.500,,108,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,montis,,1.161,14.500,,108,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,raineyi,,1.161,14.500,"habitat loss, restricted range",108,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,turba,,1.161,14.500,,108,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,zimmeri,,1.161,14.500,"habitat loss, restricted range",108,VU,,,,,
AF,Cameroon,extant,Insectivora,Soricidae,Crocidura,batesi,,1.190,15.50,,226,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,nimbae,,1.190,15.502,,174,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,hirta,,1.199,15.800,,"60, 129",,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,littoralis,,1.204,16.000,,108,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,monax,,1.204,16.000,"habitat loss, restricted range",108,VU,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,niobe,,1.204,16.000,,108,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,ultima,,1.204,16.000,"habitat loss, restricted range",108,CR,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,poensis,,1.219,16.567,,"60, 130",,WT:16.5,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,viaria,,1.230,17.000,,"60, 130",,WT:17,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,theresae,,1.246,17.600,,60,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,foxi,,1.279,19.000,"habitat loss, restricted range","60, 163, 130",VU,WT:21,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,longipes,,1.286,19.300,"habitat loss, restricted range","60, 130",EN,WT:19.3,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,nigricans,,1.301,20.000,,56,,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,lamottei,,1.312,20.500,,"163, 130",,WT:20.5,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,nigeriae,,1.362,23.000,,130,,WT:23,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,grandiceps,,1.362,23.000,,"60, 130",,WT:23,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,wimmeri,,1.371,23.500,"habitat loss, restricted range",60,EN,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,flavescens,,1.455,28.490,"habitat loss, restricted range","60, 129",VU,WT:51,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,goliath,,1.739,54.84,,"226, 244",,,,,,
AF,,extant,Insectivora,Soricidae,Crocidura,olivieri,,1.763,57.950,,"63, 70, 130",,WT:61.5,,,,
AF,"Zaire, Rwanda, Burundi",extant,Insectivora,Soricidae,Myosorex,babaulti,,-999.000,-999.000,,-999,,,,,,
AF,"Uganda, Zaire",extant,Insectivora,Soricidae,Myosorex,blarina,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,Equatorial Guinea,extant,Insectivora,Soricidae,Myosorex,eisentrauti,,-999.000,-999.000,"habitat loss, restricted range",-999,EN,,,,,
AF,Cameroon,extant,Insectivora,Soricidae,Myosorex,okuensis,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,Cameroon,extant,Insectivora,Soricidae,Myosorex,rumpii,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,Zaire,extant,Insectivora,Soricidae,Myosorex,schalleri,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,South Africa,extant,Insectivora,Soricidae,Myosorex,sclateri,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,"South Africa (Transvaal), possibly Mozambique",extant,Insectivora,Soricidae,Myosorex,tenuis,,-999.000,-999.000,"habitat loss, restricted range",-999,VU,,,,,
AF,Tanzania,extant,Insectivora,Soricidae,Myosorex,geata,,0.971,9.350,"habitat loss, restricted range",126,EN,,,,,
AF,South Africa,extant,Insectivora,Soricidae,Myosorex,longicaudatus,,1.113,12.980,"habitat loss, restricted range",198,VU,,,,,
AF,,extant,Insectivora,Soricidae,Myosorex,varius,,1.121,13.200,,260,,,,,,
AF,,extant,Insectivora,Soricidae,Myosorex,cafer,,1.127,13.400,,260,,,,,,
AF,Zaire,extant,Insectivora,Soricidae,Paracrocidura,graueri,,-999.000,-999.000,"habitat loss, restricted range",-999,CR,,,,,
AF,"Zaire, Rwanda, Uganda",extant,Insectivora,Soricidae,Paracrocidura,maxima,,-999.000,-999.000,,-999,,,,,,
AF,"S Cameroon, Gabon, Congo Republic, Zaire, Central African Republic",extant,Insectivora,Soricidae,Paracrocidura,schoutedeni,,1.114,13.000,,"140, 244",,,,,,
AF,,extant,Insectivora,Soricidae,Ruwenzorisorex,suncoides,,1.260,18.200,restricted range,56,VU,,,,,
AF,,extant,Insectivora,Soricidae,Scutisorex,somereni,,1.961,91.500,,"63, 70",,,,,,
AF,,extant,Insectivora,Soricidae,Suncus,remyi,,0.243,1.750,"habitat loss, restricted range","226, 244",CR,,,,,
AF,,extant,Insectivora,Soricidae,Suncus,etruscus,,0.279,1.900,,"64, 130",,WT:2,,,,
AF,,extant,Insectivora,Soricidae,Suncus,infinitesimus,,0.477,3.000,,260,,,,,,
AF,,extant,Insectivora,Soricidae,Suncus,lixus,,0.690,4.900,,260,,,,,,
AF,,extant,Insectivora,Soricidae,Suncus,varilla,,0.699,5.000,,60,,,,,,
AF,,extant,Insectivora,Soricidae,Suncus,murinus,,1.938,86.650,,56,,,,,,
AF,Kenya,extant,Insectivora,Soricidae,Surdisorex,norae,,0.954,9.000,"habitat loss, restricted range",70,VU,,,,,
AF,Kenya,extant,Insectivora,Soricidae,Surdisorex,polulus,,0.954,9.000,"habitat loss, restricted range",70,VU,,,,,
AF,"Zaire, Uganda, Rwanda, Kenya, Tanzania, Cameroon",extant,Insectivora,Soricidae,Sylvisorex,granti,,-999.000,-999.000,,-999,,,,,,
AF,Cameroon,extant,Insectivora,Soricidae,Sylvisorex,isabellae,,-999.000,-999.000,unknown,-999,VU,,,,,
