genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Amblotherium,pusillum,145.500,140.200,4,4,0.0268
Amblotherium,soricinum,145.500,140.200,1,1,0.0130
Amblotherium,sp.,145.500,140.200,2,1,0.0260
Amblycoptus,jessiae,8.700,5.332,1,0,NaN
Amblycoptus,sp.,9.700,7.750,3,0,NaN
Amphechinus,arvernensis,28.400,23.030,2,0,NaN
Amphechinus,edwardsi,23.030,22.400,2,0,NaN
Amphechinus,ginsburgi,23.030,5.332,1,0,NaN
Amphechinus,intermedius,13.650,12.750,1,0,NaN
Amphechinus,robustus,28.400,23.030,1,0,NaN
Amphechinus,sp.,23.030,11.100,6,0,NaN
Amphechinus,vireti,9.700,1.806,2,0,NaN
Amphibetulimus,krasnolutskii,167.700,164.700,1,0,NaN
Amphicetus,later,11.608,7.246,2,0,NaN
Amphicetus,sp.,13.650,7.246,9,0,NaN
Amphictis,ambigua,33.900,23.030,1,0,NaN
Amphictis,antiquus,20.430,15.970,1,0,NaN
Amphictis,borbonica,23.030,20.000,2,0,NaN
Amphictis,milloquensis,33.900,23.030,1,0,NaN
Amphictis,prolongata,23.030,20.000,2,0,NaN
Amphictis,schlosseri,23.030,20.000,2,0,NaN
Amphictis,sp.,15.970,13.650,1,0,NaN
Amphicynodon,gracilis,33.900,28.400,1,0,NaN
Amphicynodon,leptorhynchus,33.900,28.400,1,0,NaN
Amphicynodon,typicus,33.900,28.400,2,0,NaN
Amphicynodon,velaunus,33.900,28.400,1,0,NaN
Amphicyon,bohemicus,20.430,13.650,3,0,NaN
Amphicyon,castellanus,11.608,8.700,1,1,0.0031
Amphicyon,giganteus,16.900,15.970,5,0,NaN
Amphicyon,iactorensis,16.900,15.970,1,0,NaN
Amphicyon,major,16.900,8.700,13,1,0.0012
Amphicyon,mayor,20.430,15.970,1,1,0.0091
Amphicyon,minor,11.608,5.332,1,0,NaN
Amphicyon,sp.,16.900,2.588,4,0,NaN
Amphicyon,steinheimensis,16.900,12.750,4,0,NaN
Amphidozotherium,cayluxi,37.200,28.400,2,1,1.0000
Amphilagus,antiquus,28.400,23.030,1,0,NaN
Amphilagus,fontanessi,11.100,9.700,1,0,NaN
Amphilagus,fontannesi,12.750,11.100,1,0,NaN
Amphilagus,sp.,16.900,15.970,1,0,NaN
Amphilagus,ulmensis,23.030,13.650,10,0,NaN
Amphilemur,eocaenicus,48.600,40.400,1,0,NaN
Amphilemur,peyeri,37.200,33.900,1,0,NaN
Amphilestes,broderipii,167.700,164.700,1,1,0.2727
Amphimeryx,murinus,37.200,33.900,12,3,0.2240
Amphimeryx,riparius,33.900,28.400,1,0,NaN
Amphimeryx,sp.,37.200,33.900,2,0,NaN
Amphimoschus,artenensis,16.900,15.970,4,0,NaN
Amphimoschus,pontileviensis,16.900,13.650,5,0,NaN
Amphiperatherium,ambiguum,37.200,23.030,3,0,NaN
Amphiperatherium,bastbergense,48.600,40.400,1,1,0.1152
Amphiperatherium,bourdellense,40.400,37.200,1,0,NaN
Amphiperatherium,brabantense,55.800,48.600,1,0,NaN
Amphiperatherium,exile,28.400,23.030,8,0,NaN
Amphiperatherium,fontense,40.400,33.900,3,1,0.0021
Amphiperatherium,frequens,22.400,12.750,11,1,0.0134
Amphiperatherium,giselense,48.600,40.400,1,0,NaN
Amphiperatherium,goethei,40.400,37.200,1,0,NaN
Amphiperatherium,lamandini,37.200,33.900,1,0,NaN
Amphiperatherium,maximum,55.800,48.600,2,1,0.1111
Amphiperatherium,minutum,40.400,23.030,13,1,0.0563
Amphiperatherium,sp.,37.200,28.400,3,1,0.0141
Amphiperatherium,"sp. 1",48.600,40.400,1,1,0.5000
Amphiperatherium,"sp. A",37.200,33.900,5,0,NaN
Amphiperatherium,"sp. B",37.200,33.900,2,0,NaN
Amphiperatherium,"sp. C",37.200,33.900,2,0,NaN
Amphirhagatherium,edwardsi,37.200,33.900,1,0,NaN
Amphirhagatherium,frohnstettense,37.200,33.900,1,0,NaN
Amphirhagatherium,fronstettense,37.200,33.900,1,0,NaN
Amphitherium,prevostii,167.700,164.700,1,1,0.2727
Amphitherium,rixoni,167.700,164.700,1,1,0.0909
Amphitherium,sp.,167.700,164.700,2,1,0.0141
Amphitragulus,aurelianensis,20.000,15.970,3,0,NaN
Amphitragulus,boulangeri,20.430,15.970,1,1,1.0000
Amphitragulus,sp.,55.800,16.900,3,0,NaN
Anacharsis,orbus,12.700,11.608,1,1,0.3333
Anancus,alexeevae,3.200,2.588,2,0,NaN
Anancus,arvernensis,8.700,0.126,64,9,0.1037
Anancus,sp.,2.588,0.012,2,0,NaN
Anchilophus,depereti,40.400,37.200,4,0,NaN
Anchilophus,desmaresti,40.400,37.200,2,1,0.0155
Anchilophus,dumasi,40.400,33.900,6,1,0.0103
Anchilophus,gaudini,40.400,33.900,5,1,0.0402
Anchilophus,radegondense,37.200,33.900,1,0,NaN
Anchilophus,radegondensis,37.200,33.900,2,0,NaN
Anchilophus,sp.,37.200,33.900,2,0,NaN
Anchitheriomys,caucasicus,5.332,2.588,1,0,NaN
Anchitheriomys,sp.,15.970,13.650,1,0,NaN
Anchitheriomys,suevicus,15.970,13.650,1,0,NaN
Anchitheriomys,wiedemanni,15.970,13.650,1,0,NaN
Anchitheriomys,wiedmanni,15.970,13.650,1,0,NaN
Anchitheriomys,windemanni,15.970,13.650,1,0,NaN
Anchitherium,aurelianense,16.900,11.100,35,3,0.0952
Anchitherium,aurelianensis,15.970,13.650,1,0,NaN
Anchitherium,aurelianese,15.970,11.608,1,0,NaN
Anchitherium,ezquerrae,16.900,13.650,1,0,NaN
Anchitherium,sp.,20.430,11.100,4,1,0.0182
Anchomomys,frontanyensis,48.600,37.200,1,0,NaN
Anchomomys,gaillardi,48.600,37.200,2,1,0.2000
Anchomomys,grisollensis,40.400,37.200,2,1,0.3763
Anchomomys,pygmaeus,40.400,37.200,2,0,NaN
