Name,Status,Log10 mass (g),Area-corrected mass,Continent
Tragelaphus oryx,S,5.56,-1.003,Africa
Tragelaphus scriptus,S,4.699,-1.864,Africa
Tragelaphus spekii,S,5,-1.563,Africa
Tragelaphus strepsiceros,S,5.33,-1.232,Africa
Tragulus meminna,S,3.736,-2.96,Asia
Tragulus napu,S,3.699,-2.998,Asia
Tremarctos floridanus,E,5.447,-1.069,Nth America
Tremarctos ornatus,S,5,-1.443,Sth America
Trogontherium cuvieri,E,4.398,-2.045,Sth America
Troposodon minor,E,4.602,-1.65,Australia
Uncia uncia,S,4.505,-2.192,Asia
Urocyon cinereoargenteus,S,3.699,-2.817,Nth America
Ursus americanus,S,5.255,-1.261,Nth America
Ursus arctos,S,5.602,-0.914,Nth America
Ursus maritimus,S,5.589,-1.108,Europe
Ursus spelaeus,E,5.699,-0.998,Europe
Ursus thibetanus,S,5,-1.697,Asia
Varecia variegata,S,3.699,-1.973,Madagascar
Vicuna  vicugna,S,4.699,-1.744,Sth America
Viverra civetta,S,4.107,-2.456,Africa
Viverra megaspila,S,3.954,-2.743,Asia
Viverra viverra,S,3.813,-2.884,Asia
Viverra zibetha,S,3.941,-2.756,Asia
Vombatus hacketti,E,4.477,-1.775,Australia
Vombatus ursinus,S,4.415,-1.838,Australia
Vulpes vulpes,S,3.699,-2.998,Europe
Wallabia bicolor,S,4.176,-2.076,Australia
Wallabia kitcheneri,E,4.477,-1.775,Australia
Warenja wakefieldi,E,4,-2.253,Australia
Zaglossus bruijnii,S,3.892,-2.36,Australia
Zaglossus hacketti,E,4.477,-1.775,Australia
Zygomaturus trilobus,E,5.699,-0.554,Australia
